timestamp,flow,temp
01-01-2000 00:00:00.000,1000,10
01-01-2000 01:00:00.000,1010,11
01-01-2000 03:00:00.000,1030,13
01-01-2000 04:00:00.000,1040,14
01-01-2000 05:00:00.000,1050,15
01-01-2000 06:00:00.000,1100,10
01-01-2000 02:00:00.000,1020,12
01-01-2000 07:00:00.000,1200,10
01-01-2000 08:00:00.000,1300,10
01-01-2000 09:00:00.000,1400,10
01-01-2000 10:00:00.000,1500,10
01-01-2000 11:00:00.000,1400,10
01-01-2000 12:00:00.000,1300,10
01-01-2000 13:00:00.000,1200,10
01-01-2000 14:00:00.000,1100,10
01-01-2000 15:00:00.000,1000,10
01-01-2000 16:00:00.000,1001,10
01-01-2000 17:00:00.000,1002,10
01-01-2000 18:00:00.000,1003,10
01-01-2000 19:00:00.000,1004,10
01-01-2000 20:00:00.000,1005,10
01-01-2000 21:00:00.000,1006,10
01-01-2000 22:00:00.000,1007,10
01-01-2000 23:00:00.000,1008,10
01-02-2000 00:00:00.000,1009,10
01-02-2000 01:00:00.000,1008,10
01-02-2000 02:00:00.000,1007,10
01-02-2000 03:00:00.000,1006,10
01-02-2000 04:00:00.000,1005,10
01-02-2000 05:00:00.000,1004,10
01-02-2000 06:00:00.000,1003,10
01-02-2000 07:00:00.000,1002,10
01-02-2000 08:00:00.000,1001,10
01-02-2000 09:00:00.000,1000,10
01-02-2000 10:00:00.000,1010,11
01-02-2000 11:00:00.000,1020,12
01-02-2000 12:00:00.000,1030,13
01-02-2000 13:00:00.000,1020,12
01-02-2000 14:00:00.000,1030,13
01-02-2000 15:00:00.000,1040,14
01-02-2000 16:00:00.000,1050,15
01-02-2000 17:00:00.000,1060,16
01-02-2000 18:00:00.000,1070,17
01-02-2000 19:00:00.000,1080,18
01-02-2000 20:00:00.000,1090,19
01-02-2000 21:00:00.000,1080,18
01-02-2000 22:00:00.000,1070,17
01-02-2000 23:00:00.000,1060,16
01-03-2000 00:00:00.000,1050,15
01-03-2000 01:00:00.000,1040,14
